дата,час,купівля,продаж,курснбу
2022-06-21,08:49:10,35.0,35.6,29.2549
2022-06-22,00:05:26,35.0,35.6,29.2549
2022-06-23,08:25:24,35.0,35.6,29.2549
2022-06-24,00:05:23,35.1,35.7,29.2549
2022-06-26,21:27:29,35.1,35.7,29.2549
2022-06-27,00:05:21,35.1,35.7,29.2549
2022-06-28,08:48:42,35.2,35.8,29.2549
2022-06-29,08:33:17,35.2,35.8,29.2549
2022-06-30,09:20:26,35.3,35.7,29.2549
2022-06-30,09:20:45,35.3,35.7,29.2549
2022-07-01,08:33:30,35.3,35.65,29.2549
2022-07-04,08:43:22,35.25,35.65,29.2549
2022-07-04,08:45:48,35.25,35.65,29.2549
2022-07-05,08:53:17,35.15,35.55,29.2549
2022-07-05,11:59:26,35.05,35.5,29.2549
2022-07-05,15:56:41,35.05,35.5,29.2549
2022-07-06,08:49:59,34.95,35.45,29.2549
2022-07-07,08:45:06,35.1,35.6,29.2549
2022-07-07,12:40:20,35.4,35.85,29.2549
2022-07-07,15:10:00,35.55,36.05,29.2549
2022-07-08,08:44:07,35.55,36.1,29.2549
2022-07-11,12:12:34,36.0,36.9,29.2549
2022-07-12,00:03:34,36.1,37.1,29.2549
2022-07-12,12:45:14,36.5,37.5,29.2549
2022-07-12,15:41:34,36.8,37.8,29.2549
2022-07-13,08:43:46,36.8,37.8,29.2549
2022-07-13,12:20:00,37.0,37.95,29.2549
2022-07-14,08:24:33,36.9,37.85,29.2549
2022-07-14,15:00:00,37.0,37.75,29.2549
2022-07-15,08:40:49,37.0,37.75,29.2549
2022-07-15,14:56:18,36.9,37.6,29.2549
2022-07-18,08:16:59,36.8,37.55,29.2549
2022-07-19,08:44:17,36.8,37.4,29.2549
2022-07-19,15:30:00,36.7,37.3,29.2549
2022-07-20,08:42:28,36.5,37.2,29.2549
2022-07-21,08:48:12,36.5,37.1,29.2549
2022-07-21,11:30:00,36.65,37.4,29.2549
2022-07-21,14:20:00,36.8,38.5,36.5686
2022-07-22,08:54:16,37.0,38.8,36.5686
2022-07-22,12:45:00,37.8,39.0,36.5686
2022-07-25,13:00:08,38.2,39.0,36.5686
2022-07-25,08:05:36,38.0,39.0,36.5686
2022-07-26,08:28:04,38.5,39.3,36.5686
2022-07-26,15:20:00,38.9,39.6,36.5686
2022-07-27,08:39:59,39.0,39.8,36.5686
2022-07-27,14:51:07,39.2,39.9,36.5686
2022-07-28,08:23:06,39.5,40.5,36.5686
2022-07-29,08:40:47,39.5,39.95,36.5686
2022-08-02,08:39:10,39.65,39.95,36.5686
2022-08-03,11:23:16,39.35,39.9,36.5686
2022-08-03,08:42:44,39.65,39.95,36.5686
2022-08-03,14:30:00,39.0,39.6,36.5686
2022-08-04,11:30:00,38.4,39.4,36.5686
2022-08-04,08:03:42,38.5,39.5,36.5686
2022-08-05,08:20:37,38.65,39.4,36.5686
2022-08-05,13:45:00,38.6,39.6,36.5686
2022-08-08,08:23:57,38.6,39.6,36.5686
2022-08-08,11:10:28,38.8,39.6,36.5686
2022-08-09,07:42:23,38.85,39.7,36.5686
2022-08-10,08:11:42,39.4,39.9,36.5686
2022-08-11,08:29:21,39.5,39.99,36.5686
2022-08-11,11:05:58,39.5,39.99,36.5686
2022-08-12,08:03:06,39.5,39.99,36.5686
2022-08-15,08:37:45,39.5,39.99,36.5686
2022-08-16,08:08:40,39.5,39.99,36.5686
2022-08-17,07:42:57,39.55,39.99,36.5686
2022-08-18,08:00:31,39.65,39.99,36.5686
2022-08-19,07:33:46,39.75,39.99,36.5686
2022-08-22,08:12:04,39.75,39.99,36.5686
2022-08-23,00:35:34,39.75,40.5,36.5686
2022-08-24,08:05:47,39.9,40.5,36.5686
2022-08-25,08:36:58,39.9,40.5,36.5686
2022-08-26,08:30:46,39.8,39.99,36.5686
2022-08-29,14:38:30,39.8,39.99,36.5686
2022-08-29,08:16:57,39.8,39.99,36.5686
2022-08-30,08:07:41,39.8,39.99,36.5686
2022-08-31,08:54:39,39.8,39.99,36.5686
2022-09-01,08:58:15,39.8,39.99,36.5686
2022-09-02,08:43:04,39.8,39.99,36.5686
2022-09-05,08:09:34,39.8,39.99,36.5686
2022-09-06,08:08:28,39.8,39.99,36.5686
2022-09-07,08:39:09,39.8,39.99,36.5686
2022-09-08,08:10:40,39.8,39.99,36.5686
2022-09-09,08:25:17,39.8,39.99,0.0
2022-09-12,08:27:45,39.8,39.99,36.5686
2022-09-13,00:05:08,39.8,39.99,0.0
2022-09-14,01:08:43,39.8,39.99,36.5686
2022-09-15,00:34:16,39.8,39.99,36.5686
2022-09-16,00:02:00,39.8,39.99,0.0
2022-09-19,08:44:40,39.8,39.99,36.5686
2022-09-20,08:01:05,39.8,39.99,36.5686
2022-09-20,12:00:00,40.6,40.9,0.0
2022-09-21,08:41:02,40.6,40.9,36.5686
2022-09-21,14:45:00,40.8,41.99,0.0
2022-09-22,08:29:37,40.8,41.99,36.5686
2022-09-23,12:30:00,41.3,41.99,36.5686
2022-09-23,10:59:08,41.0,41.99,36.5686
2022-09-23,08:45:02,41.0,41.99,0.0
2022-09-26,08:39:36,41.3,41.99,0.0
2022-09-27,08:54:56,41.4,41.99,0.0
2022-09-28,08:17:50,41.45,41.99,36.5686
2022-09-29,07:59:54,41.5,41.99,36.5686
2022-09-30,06:41:45,41.5,41.99,36.5686
2022-10-03,00:05:04,41.4,41.95,0.0
2022-10-03,12:56:56,41.0,41.75,0.0
2022-10-04,08:43:26,40.8,41.6,36.5686
2022-10-04,13:49:41,40.0,41.5,0.0
2022-10-05,12:00:00,40.2,41.5,0.0
2022-10-05,07:24:20,39.95,41.4,36.5686
2022-10-06,09:03:50,40.35,41.5,36.5686
2022-10-06,09:04:56,40.35,41.5,36.5686
2022-10-07,08:30:01,40.4,41.5,36.5686
2022-10-10,07:57:50,40.45,41.5,36.5686
2022-10-11,08:01:22,40.45,41.5,36.5686
2022-10-12,07:40:23,40.45,41.5,36.5686
2022-10-12,12:10:00,40.45,41.5,36.5686
2022-10-13,08:24:05,40.5,41.4,36.5686
2022-10-14,00:00:35,40.3,41.1,36.5686
2022-10-16,23:43:52,40.25,41.0,0.0
2022-10-18,08:10:39,40.25,40.95,36.5686
2022-10-18,23:15:25,40.3,40.95,36.5686
2022-10-20,08:40:17,40.3,40.95,36.5686
2022-10-21,08:24:52,40.3,40.9,36.5686
2022-10-24,08:38:17,40.2,40.8,0.0
2022-10-25,08:58:00,40.1,40.7,0.0
2022-10-25,15:25:41,39.8,40.6,36.5686
2022-10-26,08:44:23,39.8,40.55,36.5686
2022-10-26,12:30:15,39.4,40.5,36.5686
2022-10-27,08:53:12,39.3,40.4,0.0
2022-10-28,08:53:19,39.3,40.3,36.5686
2022-10-30,20:25:10,39.2,40.0,36.5686
2022-10-31,07:58:48,39.2,40.0,0.0
2022-11-01,07:20:31,39.4,40.3,36.5686
2022-11-02,08:48:50,39.6,40.6,36.5686
2022-11-03,07:54:14,39.8,40.6,36.5686
2022-11-04,07:06:45,39.8,40.5,36.5686
2022-11-07,08:08:01,39.9,40.55,0.0
2022-11-08,06:43:39,40.0,40.65,36.5686
2022-11-09,08:46:16,40.05,40.65,36.5686
2022-11-10,08:40:41,40.1,40.7,0.0
2022-11-11,12:19:28,40.1,40.65,0.0
2022-11-11,08:23:42,40.1,40.65,36.5686
2022-11-14,07:13:42,40.15,40.7,36.5686
2022-11-14,13:56:02,40.15,40.7,36.5686
2022-11-15,08:25:25,40.15,40.7,0.0
2022-11-15,14:34:39,40.15,40.7,0.0
2022-11-15,16:29:30,40.15,40.7,0.0
2022-11-15,16:30:38,40.15,40.7,0.0
2022-11-15,22:07:10,40.15,40.7,36.5686
2022-11-17,08:07:59,40.2,40.75,36.5686
2022-11-18,14:02:45,40.15,40.7,36.5686
2022-11-18,00:00:27,40.15,40.7,36.5686
2022-11-21,08:45:51,40.05,40.6,0.0
2022-11-21,12:30:00,39.9,40.5,0.0
2022-11-22,08:37:47,39.9,40.45,36.5686
2022-11-23,08:51:02,40.0,40.55,36.5686
2022-11-24,08:32:18,40.0,40.55,36.5686
2022-11-25,08:52:11,40.05,40.55,36.5686
2022-11-26,02:56:45,39.85,40.5,36.5686
2022-11-28,08:06:49,39.85,40.5,36.5686
2022-11-29,07:47:22,39.95,40.5,36.5686
2022-11-30,08:48:51,39.9,40.5,36.5686
2022-12-01,08:35:36,39.95,40.5,36.5686
2022-12-02,08:44:55,40.0,40.55,36.5686
2022-12-05,08:19:11,39.9,40.5,36.5686
2022-12-05,13:00:00,39.95,40.5,0.0
2022-12-06,08:24:52,40.0,40.5,36.5686
2022-12-07,00:00:38,39.85,40.45,0.0
2022-12-08,08:36:29,39.85,40.45,36.5686
2022-12-09,00:00:30,39.75,40.4,36.5686
2022-12-12,08:57:57,39.65,40.4,0.0
2022-12-13,14:54:07,39.7,40.4,36.5686
2022-12-13,08:12:39,39.7,40.4,36.5686
2022-12-14,07:30:44,39.75,40.4,36.5686
2022-12-14,15:00:00,39.85,40.5,36.5686
2022-12-15,08:44:34,39.85,40.5,36.5686
2022-12-16,08:12:40,39.75,40.4,36.5686
2022-12-19,02:26:54,39.75,40.48,36.5686
2022-12-20,08:17:34,39.8,40.48,36.5686
2022-12-21,08:57:06,39.85,40.5,36.5686
2022-12-22,14:24:39,39.95,40.55,36.5686
2022-12-22,08:22:37,39.95,40.55,36.5686
2022-12-23,08:24:59,40.0,40.55,36.5686
2022-12-26,08:37:52,40.0,40.55,36.5686
2022-12-27,08:40:52,40.2,40.85,36.5686
2022-12-28,08:50:13,40.25,40.9,36.5686
